Species,Aquarium,Treatment,Predation,PredationPerDay,Movement,MovementPerDay,Note
Vasula_melones,2,19C,0,0,7,1,
Vasula_melones,5,19C,0,0,3,0.428571429,
Vasula_melones,6,19C,0,0,5,0.714285714,
Vasula_melones,9,19C,0,0,10,1.428571429,
Vasula_melones,10,19C,0,0,8,1.142857143,
Vasula_melones,14,19C,0,0,9,1.285714286,
Vasula_melones,15,19C,0,0,8,1.142857143,
Vasula_melones,16,19C,0,0,8,1.142857143,
Vasula_melones,2,23C,2,0.285714286,10,1.428571429,
Vasula_melones,3,23C,2,0.285714286,3,0.428571429,
Vasula_melones,7,23C,7,1,10,1.428571429,
Vasula_melones,8,23C,5,0.714285714,11,1.571428571,
Vasula_melones,10,23C,0,0,4,0.571428571,
Vasula_melones,11,23C,1,0.142857143,2,0.285714286,
Vasula_melones,13,23C,0,0,3,0.428571429,
Vasula_melones,16,23C,2,0.285714286,5,0.714285714,
Vasula_melones,1,26C,4,0.571428571,9,1.285714286,
Vasula_melones,3,26C,4,0.571428571,6,0.857142857,
Vasula_melones,4,26C,7,1,8,1.142857143,
Vasula_melones,7,26C,0,0,3,0.428571429,
Vasula_melones,8,26C,2,0.285714286,8,1.142857143,
Vasula_melones,11,26C,5,0.714285714,7,1,
Vasula_melones,12,26C,1,0.142857143,6,0.857142857,
Vasula_melones,13,26C,0,0,7,1,
Vasula_melones,1,26C,3,0.428571429,3,0.428571429,
Vasula_melones,4,29C,4,0.571428571,8,1.142857143,
Vasula_melones,5,29C,5,0.714285714,4,0.571428571,
Vasula_melones,6,29C,5,0.714285714,6,0.857142857,
Vasula_melones,9,29C,5,0.714285714,6,0.857142857,
Vasula_melones,12,29C,4,0.571428571,9,1.285714286,
Vasula_melones,14,29C,5,0.714285714,10,1.428571429,
Vasula_melones,15,29C,0,0,8,1.142857143,
Vasula_melones,1,32C,4,0.571428571,8,1.142857143,
Vasula_melones,3,32C,6,0.857142857,7,1,
Vasula_melones,5,32C,6,0.857142857,14,2,
Vasula_melones,6,32C,8,1.142857143,13,1.857142857,
Vasula_melones,7,32C,12,1.714285714,13,1.857142857,
Vasula_melones,8,32C,3,0.428571429,11,1.571428571,
Vasula_melones,9,32C,14,2,14,2,
Vasula_melones,10,32C,6,0.857142857,10,1.428571429,
Tribulus_planospira,2,19C,1,0.142857143,3,0.428571429,
Tribulus_planospira,4,19C,0,0,6,0.857142857,
Tribulus_planospira,8,19C,2,0.285714286,6,0.857142857,
Tribulus_planospira,9,19C,1,0.142857143,7,1,
Tribulus_planospira,10,19C,0,0,5,0.714285714,
Tribulus_planospira,13,19C,0,0,9,1.285714286,
Tribulus_planospira,14,19C,0,0,2,0.285714286,
Tribulus_planospira,15,19C,0,0,5,0.714285714,
Tribulus_planospira,1,22C,1,0.142857143,7,1,
Tribulus_planospira,3,22C,1,0.142857143,4,0.571428571,
Tribulus_planospira,5,22C,2,0.285714286,8,1.142857143,
Tribulus_planospira,6,22C,0,0,6,0.857142857,
Tribulus_planospira,7,22C,1,0.142857143,7,1,
Tribulus_planospira,11,22C,2,0.285714286,6,0.857142857,
Tribulus_planospira,12,22C,0,0,6,0.857142857,
Tribulus_planospira,16,22C,0,0,7,1,
Tribulus_planospira,1,25C,1,0.142857143,11,1.571428571,
Tribulus_planospira,5,25C,1,0.142857143,9,1.285714286,
Tribulus_planospira,6,25C,3,0.428571429,9,1.285714286,
Tribulus_planospira,8,25C,2,0.285714286,7,1,
Tribulus_planospira,11,25C,2,0.285714286,5,0.714285714,
Tribulus_planospira,12,25C,2,0.285714286,7,1,
Tribulus_planospira,15,25C,0,0,8,1.142857143,
Tribulus_planospira,16,25C,3,0.428571429,10,1.428571429,
Tribulus_planospira,2,28C,2,0.285714286,10,1.428571429,
Tribulus_planospira,3,28C,3,0.428571429,10,1.428571429,
Tribulus_planospira,4,28C,3,0.428571429,8,1.142857143,
Tribulus_planospira,7,28C,3,0.428571429,9,1.285714286,
Tribulus_planospira,9,28C,0,0,5,0.714285714,
Tribulus_planospira,10,28C,0,0,9,1.285714286,
Tribulus_planospira,13,28C,2,0.285714286,8,1.142857143,
Tribulus_planospira,14,28C,3,0.428571429,8,1.142857143,
Tribulus_planospira,1,31C,4,0.571428571,7,1,
Tribulus_planospira,3,31C,0,0,5,0.714285714,
Tribulus_planospira,6,31C,0,0,11,1.571428571,
Tribulus_planospira,7,31C,1,0.142857143,9,1.285714286,
Tribulus_planospira,8,31C,0,0,7,1,
Tribulus_planospira,11,31C,0,0,5,0.714285714,
Tribulus_planospira,13,31C,1,0.142857143,5,0.714285714,
Tribulus_planospira,16,31C,0,0,5,0.714285714,
Heliaster_cumingi,2,16C,0,0,5,0.714285714,
Heliaster_cumingi,3,16C,3,0.428571429,10,1.428571429,
Heliaster_cumingi,14,16C,4,0.571428571,5,0.714285714,
Heliaster_cumingi,15,16C,4,0.571428571,5,0.714285714,
Heliaster_cumingi,16,16C,3,0.428571429,9,1.285714286,
Heliaster_cumingi,18,16C,0,0,10,1.428571429,
Heliaster_cumingi,20,16C,0,0,5,0.714285714,
Heliaster_cumingi,7,23C,6,0.857142857,7,1,
Heliaster_cumingi,13,23C,5,0.714285714,14,2,
Heliaster_cumingi,17,23C,0,0,11,1.571428571,
Heliaster_cumingi,19,23C,4,0.571428571,11,1.571428571,
Heliaster_cumingi,26,26C,0,0,0,0,added for plot
Heliaster_cumingi,26,26C,0,0,0,0,added for plot
Heliaster_cumingi,26,26C,0,0,0,0,added for plot
Hexaplex_princeps,1,16C,2,0.095238095,1,0.0625,
Hexaplex_princeps,3,16C,0,0,4,0.25,
Hexaplex_princeps,4,16C,0,0,1,0.0625,
Hexaplex_princeps,6,16C,0,0,2,0.125,
Hexaplex_princeps,8,16C,2,0.095238095,3,0.1875,
Hexaplex_princeps,14,16C,0,0,3,0.1875,
Hexaplex_princeps,16,16C,0,0,5,0.3125,
Hexaplex_princeps,19,16C,0,0,1,0.0625,
Hexaplex_princeps,22,21C,0,0,10,0.666666667,
Hexaplex_princeps,23,21C,0,0,16,1.066666667,
Hexaplex_princeps,25,21C,4,0.266666667,8,0.533333333,
Hexaplex_princeps,26,21C,5,0.333333333,10,0.666666667,
Hexaplex_princeps,29,21C,6,0.4,10,0.666666667,
Hexaplex_princeps,32,21C,5,0.333333333,15,1,
Hexaplex_princeps,2,26C,2,0.095238095,11,0.6875,
Hexaplex_princeps,10,26C,5,0.238095238,13,0.8125,
Hexaplex_princeps,13,26C,3,0.142857143,17,1.0625,
Hexaplex_princeps,15,26C,1,0.047619048,8,0.5,
Hexaplex_princeps,17,26C,0,0,9,0.5625,
Hexaplex_princeps,18,26C,2,0.095238095,15,0.9375,
Hexaplex_princeps,20,26C,4,0.19047619,15,0.9375,
Hexaplex_princeps,21,28C,5,0.333333333,11,0.733333333,
Hexaplex_princeps,24,28C,7,0.466666667,9,0.6,
Hexaplex_princeps,27,28C,0,0,13,0.866666667,
Hexaplex_princeps,28,28C,0,0,9,0.6,
Hexaplex_princeps,30,28C,0,0,11,0.733333333,
Hexaplex_princeps,31,28C,1,0.066666667,13,0.866666667,
